0,59766.6667,21366.6667
1,59816.6667,22966.6667
2,59816.6667,23066.6667
3,59833.3333,21616.6667
4,59833.3333,22950
5,59833.3333,23083.3333
6,59833.3333,23200
7,59850,22433.3333
8,59866.6667,22450
9,59866.6667,22483.3333
10,59866.6667,22500
11,59866.6667,23400
12,59883.3333,22516.6667
13,59883.3333,23100
14,59883.3333,23400
15,59883.3333,23700
16,59900,23116.6667
17,59900,23250
18,59900,23300
19,59900,23350
20,59900,23450
21,59900,23483.3333
22,59916.6667,20900
23,59916.6667,20916.6667
24,59916.6667,21883.3333
25,59916.6667,22416.6667
26,59916.6667,23033.3333
27,59916.6667,23166.6667
28,59916.6667,23383.3333
29,59916.6667,23516.6667
30,59933.3333,20883.3333
31,59933.3333,20900
32,59933.3333,20966.6667
33,59933.3333,20983.3333
34,59933.3333,22400
35,59933.3333,22900
36,59933.3333,22983.3333
37,59933.3333,23150
38,59933.3333,23233.3333
39,59933.3333,23300
40,59933.3333,23366.6667
41,59933.3333,23550
42,59933.3333,23600
43,59933.3333,23700
44,59933.3333,23716.6667
45,59933.3333,23766.6667
46,59950,20883.3333
47,59950,20950
48,59950,21000
49,59950,21766.6667
50,59950,22366.6667
51,59950,22716.6667
52,59950,22866.6667
53,59950,22966.6667
54,59950,23050
55,59950,23383.3333
56,59950,23416.6667
57,59950,23466.6667
58,59950,23500
59,59950,23650
60,59950,23950
61,59966.6667,22433.3333
62,59966.6667,22533.3333
63,59966.6667,22616.6667
64,59966.6667,22900
65,59966.6667,22916.6667
66,59966.6667,22950
67,59966.6667,22983.3333
68,59966.6667,23166.6667
69,59966.6667,23233.3333
70,59966.6667,23433.3333
71,59966.6667,23700
72,59966.6667,23866.6667
73,59966.6667,23883.3333
74,59983.3333,21300
75,59983.3333,22816.6667
76,59983.3333,22833.3333
77,59983.3333,23033.3333
78,59983.3333,23133.3333
79,59983.3333,23200
80,59983.3333,23266.6667
81,59983.3333,23300
82,59983.3333,23400
83,59983.3333,23416.6667
84,59983.3333,23483.3333
85,59983.3333,23566.6667
86,59983.3333,23616.6667
87,59983.3333,23650
88,59983.3333,23750
89,59983.3333,23783.3333
90,59983.3333,23883.3333
91,59983.3333,23900
92,59988.3333,24442.2222
93,59994.7222,24474.1667
94,60000,20316.6667
95,60000,20366.6667
96,60000,20383.3333
97,60000,20416.6667
98,60000,22550
